Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011195 | lrm: 1.00 | dt: 21820ms | tok/sec: 24,027 | mfu: 0.6% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.898225 | lrm: 1.00 | dt: 547ms | tok/sec: 957,915 | mfu: 23.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.563100 | lrm: 1.00 | dt: 631ms | tok/sec: 831,499 | mfu: 20.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.177384 | lrm: 1.00 | dt: 576ms | tok/sec: 910,841 | mfu: 22.0% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.813216 | lrm: 1.00 | dt: 625ms | tok/sec: 838,825 | mfu: 20.3% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.508244 | lrm: 1.00 | dt: 597ms | tok/sec: 877,826 | mfu: 21.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.265855 | lrm: 1.00 | dt: 598ms | tok/sec: 877,150 | mfu: 21.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.064496 | lrm: 1.00 | dt: 615ms | tok/sec: 851,971 | mfu: 20.6% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.899755 | lrm: 1.00 | dt: 605ms | tok/sec: 866,548 | mfu: 20.9% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.758037 | lrm: 1.00 | dt: 621ms | tok/sec: 844,738 | mfu: 20.4% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.638352 | lrm: 1.00 | dt: 607ms | tok/sec: 864,223 | mfu: 20.9% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.538152 | lrm: 1.00 | dt: 616ms | tok/sec: 850,951 | mfu: 20.6% | epoch: 1 | remaining: 299s    
step 00012 (0.2%) | loss: 6.450664 | lrm: 1.00 | dt: 620ms | tok/sec: 845,289 | mfu: 20.4% | epoch: 1 | remaining: 299s    
step 00013 (0.4%) | loss: 6.373961 | lrm: 1.00 | dt: 610ms | tok/sec: 859,533 | mfu: 20.8% | epoch: 1 | remaining: 298s    
step 00316 (62.9%) | loss: 4.022141 | lrm: 0.74 | dt: 624ms | tok/sec: 840,602 | mfu: 20.3% | epoch: 1 | remaining: 111s    
step 00317 (63.1%) | loss: 4.018212 | lrm: 0.74 | dt: 630ms | tok/sec: 831,986 | mfu: 20.1% | epoch: 1 | remaining: 110s    
step 00318 (63.3%) | loss: 4.018027 | lrm: 0.73 | dt: 623ms | tok/sec: 841,460 | mfu: 20.3% | epoch: 1 | remaining: 109s    
step 00319 (63.5%) | loss: 4.025233 | lrm: 0.73 | dt: 624ms | tok/sec: 839,608 | mfu: 20.3% | epoch: 1 | remaining: 109s    
step 00320 (63.8%) | loss: 4.026637 | lrm: 0.72 | dt: 624ms | tok/sec: 840,048 | mfu: 20.3% | epoch: 1 | remaining: 108s    
step 00321 (64.0%) | loss: 4.016396 | lrm: 0.72 | dt: 617ms | tok/sec: 849,228 | mfu: 20.5% | epoch: 1 | remaining: 107s    
step 00322 (64.2%) | loss: 4.010929 | lrm: 0.72 | dt: 627ms | tok/sec: 836,845 | mfu: 20.2% | epoch: 1 | remaining: 107s    
step 00323 (64.4%) | loss: 4.008685 | lrm: 0.71 | dt: 619ms | tok/sec: 846,315 | mfu: 20.4% | epoch: 1 | remaining: 106s    
step 00324 (64.6%) | loss: 4.005704 | lrm: 0.71 | dt: 626ms | tok/sec: 838,142 | mfu: 20.3% | epoch: 1 | remaining: 106s    
step 00325 (64.8%) | loss: 4.004788 | lrm: 0.70 | dt: 628ms | tok/sec: 834,743 | mfu: 20.2% | epoch: 1 | remaining: 105s    
step 00326 (65.0%) | loss: 3.996225 | lrm: 0.70 | dt: 623ms | tok/sec: 841,711 | mfu: 20.3% | epoch: 1 | remaining: 104s    
step 00327 (65.2%) | loss: 3.997383 | lrm: 0.70 | dt: 623ms | tok/sec: 840,998 | mfu: 20.3% | epoch: 1 | remaining: 104s    
step 00328 (65.4%) | loss: 3.987567 | lrm: 0.69 | dt: 627ms | tok/sec: 836,360 | mfu: 20.2% | epoch: 1 | remaining: 103s    
step 00329 (65.6%) | loss: 3.986310 | lrm: 0.69 | dt: 629ms | tok/sec: 833,430 | mfu: 20.1% | epoch: 1 | remaining: 102s    
step 00330 (65.8%) | loss: 3.984448 | lrm: 0.68 | dt: 624ms | tok/sec: 839,608 | mfu: 20.3% | epoch: 1 | remaining: 102s    
step 00331 (66.0%) | loss: 3.982215 | lrm: 0.68 | dt: 628ms | tok/sec: 834,786 | mfu: 20.2% | epoch: 1 | remaining: 101s    
step 00332 (66.3%) | loss: 3.983992 | lrm: 0.67 | dt: 624ms | tok/sec: 839,823 | mfu: 20.3% | epoch: 1 | remaining: 101s    
step 00333 (66.5%) | loss: 3.979787 | lrm: 0.67 | dt: 623ms | tok/sec: 841,091 | mfu: 20.3% | epoch: 1 | remaining: 100s    
step 00334 (66.7%) | loss: 3.977741 | lrm: 0.67 | dt: 624ms | tok/sec: 840,019 | mfu: 20.3% | epoch: 1 | remaining: 99s    
step 00335 (66.9%) | loss: 3.977046 | lrm: 0.66 | dt: 627ms | tok/sec: 836,061 | mfu: 20.2% | epoch: 1 | remaining: 99s    
step 00336 (67.1%) | loss: 3.977571 | lrm: 0.66 | dt: 623ms | tok/sec: 841,321 | mfu: 20.3% | epoch: 1 | remaining: 98s    
step 00337 (67.3%) | loss: 3.975019 | lrm: 0.65 | dt: 623ms | tok/sec: 842,016 | mfu: 20.3% | epoch: 1 | remaining: 97s    
step 00338 (67.5%) | loss: 3.975782 | lrm: 0.65 | dt: 623ms | tok/sec: 841,593 | mfu: 20.3% | epoch: 1 | remaining: 97s    
step 00339 (67.7%) | loss: 3.966832 | lrm: 0.65 | dt: 625ms | tok/sec: 838,951 | mfu: 20.3% | epoch: 1 | remaining: 96s    
step 00340 (67.9%) | loss: 3.961802 | lrm: 0.64 | dt: 625ms | tok/sec: 838,499 | mfu: 20.3% | epoch: 1 | remaining: 96s    
step 00341 (68.1%) | loss: 3.965739 | lrm: 0.64 | dt: 630ms | tok/sec: 831,779 | mfu: 20.1% | epoch: 1 | remaining: 95s    
step 00342 (68.3%) | loss: 3.964672 | lrm: 0.63 | dt: 623ms | tok/sec: 841,182 | mfu: 20.3% | epoch: 1 | remaining: 94s    
step 00343 (68.5%) | loss: 3.963650 | lrm: 0.63 | dt: 620ms | tok/sec: 845,727 | mfu: 20.4% | epoch: 1 | remaining: 94s    
step 00344 (68.8%) | loss: 3.956532 | lrm: 0.62 | dt: 626ms | tok/sec: 837,691 | mfu: 20.2% | epoch: 1 | remaining: 93s    
step 00345 (69.0%) | loss: 3.954612 | lrm: 0.62 | dt: 625ms | tok/sec: 838,534 | mfu: 20.3% | epoch: 1 | remaining: 92s    
step 00346 (69.2%) | loss: 3.954181 | lrm: 0.62 | dt: 624ms | tok/sec: 840,453 | mfu: 20.3% | epoch: 1 | remaining: 92s    
step 00347 (69.4%) | loss: 3.949880 | lrm: 0.61 | dt: 625ms | tok/sec: 839,373 | mfu: 20.3% | epoch: 1 | remaining: 91s    
step 00348 (69.6%) | loss: 3.951053 | lrm: 0.61 | dt: 625ms | tok/sec: 838,900 | mfu: 20.3% | epoch: 1 | remaining: 91s    
step 00349 (69.8%) | loss: 3.952635 | lrm: 0.60 | dt: 631ms | tok/sec: 831,050 | mfu: 20.1% | epoch: 1 | remaining: 90s    
step 00350 (70.0%) | loss: 3.950919 | lrm: 0.60 | dt: 622ms | tok/sec: 842,934 | mfu: 20.4% | epoch: 1 | remaining: 89s    
step 00351 (70.2%) | loss: 3.946398 | lrm: 0.60 | dt: 628ms | tok/sec: 834,920 | mfu: 20.2% | epoch: 1 | remaining: 89s    
step 00352 (70.4%) | loss: 3.945030 | lrm: 0.59 | dt: 626ms | tok/sec: 837,427 | mfu: 20.2% | epoch: 1 | remaining: 88s    
step 00353 (70.6%) | loss: 3.937836 | lrm: 0.59 | dt: 621ms | tok/sec: 843,869 | mfu: 20.4% | epoch: 1 | remaining: 87s    
step 00354 (70.8%) | loss: 3.938918 | lrm: 0.58 | dt: 620ms | tok/sec: 845,928 | mfu: 20.4% | epoch: 1 | remaining: 87s    
step 00355 (71.0%) | loss: 3.933357 | lrm: 0.58 | dt: 627ms | tok/sec: 836,207 | mfu: 20.2% | epoch: 1 | remaining: 86s    
step 00356 (71.3%) | loss: 3.927278 | lrm: 0.57 | dt: 625ms | tok/sec: 839,356 | mfu: 20.3% | epoch: 1 | remaining: 86s    
step 00357 (71.5%) | loss: 3.931889 | lrm: 0.57 | dt: 628ms | tok/sec: 835,001 | mfu: 20.2% | epoch: 1 | remaining: 85s    
step 00358 (71.7%) | loss: 3.925990 | lrm: 0.57 | dt: 624ms | tok/sec: 840,864 | mfu: 20.3% | epoch: 1 | remaining: 84s    
step 00359 (71.9%) | loss: 3.926358 | lrm: 0.56 | dt: 624ms | tok/sec: 840,125 | mfu: 20.3% | epoch: 1 | remaining: 84s    
step 00360 (72.1%) | loss: 3.925420 | lrm: 0.56 | dt: 625ms | tok/sec: 838,594 | mfu: 20.3% | epoch: 1 | remaining: 83s    
step 00361 (72.3%) | loss: 3.918461 | lrm: 0.55 | dt: 629ms | tok/sec: 832,996 | mfu: 20.1% | epoch: 1 | remaining: 82s    
step 00362 (72.5%) | loss: 3.915469 | lrm: 0.55 | dt: 619ms | tok/sec: 846,973 | mfu: 20.5% | epoch: 1 | remaining: 82s    
step 00363 (72.7%) | loss: 3.911223 | lrm: 0.55 | dt: 626ms | tok/sec: 837,716 | mfu: 20.2% | epoch: 1 | remaining: 81s    
step 00364 (72.9%) | loss: 3.905710 | lrm: 0.54 | dt: 620ms | tok/sec: 844,953 | mfu: 20.4% | epoch: 1 | remaining: 81s    
step 00365 (73.1%) | loss: 3.907436 | lrm: 0.54 | dt: 627ms | tok/sec: 836,473 | mfu: 20.2% | epoch: 1 | remaining: 80s    
step 00366 (73.3%) | loss: 3.899763 | lrm: 0.53 | dt: 630ms | tok/sec: 832,832 | mfu: 20.1% | epoch: 1 | remaining: 79s    
step 00367 (73.5%) | loss: 3.900817 | lrm: 0.53 | dt: 617ms | tok/sec: 849,137 | mfu: 20.5% | epoch: 1 | remaining: 79s    
step 00368 (73.7%) | loss: 3.899877 | lrm: 0.53 | dt: 624ms | tok/sec: 840,008 | mfu: 20.3% | epoch: 1 | remaining: 78s    
step 00369 (74.0%) | loss: 3.901439 | lrm: 0.52 | dt: 630ms | tok/sec: 832,718 | mfu: 20.1% | epoch: 1 | remaining: 77s    
step 00370 (74.2%) | loss: 3.900359 | lrm: 0.52 | dt: 624ms | tok/sec: 840,493 | mfu: 20.3% | epoch: 1 | remaining: 77s    
step 00371 (74.4%) | loss: 3.898703 | lrm: 0.51 | dt: 632ms | tok/sec: 829,589 | mfu: 20.0% | epoch: 1 | remaining: 76s    
step 00372 (74.6%) | loss: 3.894843 | lrm: 0.51 | dt: 622ms | tok/sec: 842,500 | mfu: 20.4% | epoch: 1 | remaining: 76s    
step 00373 (74.8%) | loss: 3.897168 | lrm: 0.50 | dt: 628ms | tok/sec: 834,916 | mfu: 20.2% | epoch: 1 | remaining: 75s    
step 00374 (75.0%) | loss: 3.897382 | lrm: 0.50 | dt: 626ms | tok/sec: 837,728 | mfu: 20.2% | epoch: 1 | remaining: 74s    
step 00375 (75.2%) | loss: 3.898389 | lrm: 0.50 | dt: 624ms | tok/sec: 839,768 | mfu: 20.3% | epoch: 1 | remaining: 74s    
step 00376 (75.4%) | loss: 3.893473 | lrm: 0.49 | dt: 624ms | tok/sec: 839,859 | mfu: 20.3% | epoch: 1 | remaining: 73s    
step 00377 (75.6%) | loss: 3.887985 | lrm: 0.49 | dt: 624ms | tok/sec: 840,821 | mfu: 20.3% | epoch: 1 | remaining: 72s    
step 00378 (75.8%) | loss: 3.881753 | lrm: 0.48 | dt: 622ms | tok/sec: 842,285 | mfu: 20.4% | epoch: 1 | remaining: 72s    
step 00379 (76.0%) | loss: 3.878146 | lrm: 0.48 | dt: 627ms | tok/sec: 836,119 | mfu: 20.2% | epoch: 1 | remaining: 71s    
step 00380 (76.3%) | loss: 3.878334 | lrm: 0.47 | dt: 623ms | tok/sec: 841,723 | mfu: 20.3% | epoch: 1 | remaining: 71s    
step 00381 (76.5%) | loss: 3.871325 | lrm: 0.47 | dt: 627ms | tok/sec: 836,457 | mfu: 20.2% | epoch: 1 | remaining: 70s    
step 00382 (76.7%) | loss: 3.868082 | lrm: 0.47 | dt: 622ms | tok/sec: 843,057 | mfu: 20.4% | epoch: 1 | remaining: 69s    
step 00383 (76.9%) | loss: 3.864937 | lrm: 0.46 | dt: 624ms | tok/sec: 840,207 | mfu: 20.3% | epoch: 1 | remaining: 69s    
step 00384 (77.1%) | loss: 3.860384 | lrm: 0.46 | dt: 623ms | tok/sec: 841,396 | mfu: 20.3% | epoch: 1 | remaining: 68s    
step 00385 (77.3%) | loss: 3.860032 | lrm: 0.45 | dt: 627ms | tok/sec: 836,753 | mfu: 20.2% | epoch: 1 | remaining: 67s    
step 00386 (77.5%) | loss: 3.860330 | lrm: 0.45 | dt: 628ms | tok/sec: 835,400 | mfu: 20.2% | epoch: 1 | remaining: 67s    
step 00387 (77.7%) | loss: 3.858080 | lrm: 0.45 | dt: 623ms | tok/sec: 841,528 | mfu: 20.3% | epoch: 1 | remaining: 66s    
step 00388 (77.9%) | loss: 3.863666 | lrm: 0.44 | dt: 626ms | tok/sec: 837,890 | mfu: 20.2% | epoch: 1 | remaining: 66s    
step 00389 (78.1%) | loss: 3.866341 | lrm: 0.44 | dt: 631ms | tok/sec: 830,858 | mfu: 20.1% | epoch: 1 | remaining: 65s    
step 00390 (78.3%) | loss: 3.866411 | lrm: 0.43 | dt: 621ms | tok/sec: 843,895 | mfu: 20.4% | epoch: 1 | remaining: 64s    
step 00391 (78.5%) | loss: 3.863201 | lrm: 0.43 | dt: 627ms | tok/sec: 835,993 | mfu: 20.2% | epoch: 1 | remaining: 64s    
step 00392 (78.8%) | loss: 3.860380 | lrm: 0.42 | dt: 624ms | tok/sec: 840,214 | mfu: 20.3% | epoch: 1 | remaining: 63s    
step 00393 (79.0%) | loss: 3.859160 | lrm: 0.42 | dt: 623ms | tok/sec: 841,468 | mfu: 20.3% | epoch: 1 | remaining: 62s    
step 00394 (79.2%) | loss: 3.869235 | lrm: 0.42 | dt: 618ms | tok/sec: 847,701 | mfu: 20.5% | epoch: 1 | remaining: 62s    
step 00395 (79.4%) | loss: 3.863926 | lrm: 0.41 | dt: 625ms | tok/sec: 838,935 | mfu: 20.3% | epoch: 1 | remaining: 61s    
step 00396 (79.6%) | loss: 3.866843 | lrm: 0.41 | dt: 622ms | tok/sec: 842,446 | mfu: 20.4% | epoch: 1 | remaining: 61s    
step 00397 (79.8%) | loss: 3.860278 | lrm: 0.40 | dt: 630ms | tok/sec: 832,615 | mfu: 20.1% | epoch: 1 | remaining: 60s    
step 00398 (80.0%) | loss: 3.856694 | lrm: 0.40 | dt: 619ms | tok/sec: 846,798 | mfu: 20.5% | epoch: 1 | remaining: 59s    
step 00399 (80.2%) | loss: 3.851764 | lrm: 0.40 | dt: 621ms | tok/sec: 843,797 | mfu: 20.4% | epoch: 1 | remaining: 59s    
step 00400 (80.4%) | loss: 3.849038 | lrm: 0.39 | dt: 625ms | tok/sec: 838,812 | mfu: 20.3% | epoch: 1 | remaining: 58s    
step 00401 (80.6%) | loss: 3.845384 | lrm: 0.39 | dt: 630ms | tok/sec: 832,281 | mfu: 20.1% | epoch: 1 | remaining: 58s    
step 00402 (80.8%) | loss: 3.843619 | lrm: 0.38 | dt: 624ms | tok/sec: 840,816 | mfu: 20.3% | epoch: 1 | remaining: 57s    
step 00403 (81.0%) | loss: 3.840217 | lrm: 0.38 | dt: 622ms | tok/sec: 842,336 | mfu: 20.4% | epoch: 1 | remaining: 56s    
step 00404 (81.2%) | loss: 3.837945 | lrm: 0.38 | dt: 622ms | tok/sec: 842,810 | mfu: 20.4% | epoch: 1 | remaining: 56s    
step 00405 (81.5%) | loss: 3.840978 | lrm: 0.37 | dt: 624ms | tok/sec: 840,385 | mfu: 20.3% | epoch: 1 | remaining: 55s    
step 00406 (81.7%) | loss: 3.844014 | lrm: 0.37 | dt: 625ms | tok/sec: 839,311 | mfu: 20.3% | epoch: 1 | remaining: 54s    
step 00407 (81.9%) | loss: 3.846733 | lrm: 0.36 | dt: 621ms | tok/sec: 844,735 | mfu: 20.4% | epoch: 1 | remaining: 54s    
step 00408 (82.1%) | loss: 3.842667 | lrm: 0.36 | dt: 616ms | tok/sec: 850,617 | mfu: 20.6% | epoch: 1 | remaining: 53s    
step 00409 (82.3%) | loss: 3.841631 | lrm: 0.35 | dt: 627ms | tok/sec: 836,287 | mfu: 20.2% | epoch: 1 | remaining: 53s    
step 00410 (82.5%) | loss: 3.834160 | lrm: 0.35 | dt: 629ms | tok/sec: 834,054 | mfu: 20.2% | epoch: 1 | remaining: 52s    
step 00411 (82.7%) | loss: 3.833547 | lrm: 0.35 | dt: 623ms | tok/sec: 840,887 | mfu: 20.3% | epoch: 1 | remaining: 51s    
step 00412 (82.9%) | loss: 3.830729 | lrm: 0.34 | dt: 630ms | tok/sec: 832,714 | mfu: 20.1% | epoch: 1 | remaining: 51s    
step 00413 (83.1%) | loss: 3.831259 | lrm: 0.34 | dt: 622ms | tok/sec: 843,061 | mfu: 20.4% | epoch: 1 | remaining: 50s    
step 00414 (83.3%) | loss: 3.828462 | lrm: 0.33 | dt: 626ms | tok/sec: 837,053 | mfu: 20.2% | epoch: 1 | remaining: 49s    
step 00415 (83.5%) | loss: 3.826886 | lrm: 0.33 | dt: 622ms | tok/sec: 842,485 | mfu: 20.4% | epoch: 1 | remaining: 49s    
step 00416 (83.7%) | loss: 3.821492 | lrm: 0.33 | dt: 624ms | tok/sec: 840,414 | mfu: 20.3% | epoch: 1 | remaining: 48s    
step 00417 (84.0%) | loss: 3.818159 | lrm: 0.32 | dt: 624ms | tok/sec: 840,756 | mfu: 20.3% | epoch: 1 | remaining: 48s    
step 00418 (84.2%) | loss: 3.815717 | lrm: 0.32 | dt: 625ms | tok/sec: 838,579 | mfu: 20.3% | epoch: 1 | remaining: 47s    
step 00419 (84.4%) | loss: 3.807825 | lrm: 0.31 | dt: 622ms | tok/sec: 842,836 | mfu: 20.4% | epoch: 1 | remaining: 46s    
step 00420 (84.6%) | loss: 3.810702 | lrm: 0.31 | dt: 620ms | tok/sec: 845,379 | mfu: 20.4% | epoch: 1 | remaining: 46s    
step 00421 (84.8%) | loss: 3.807440 | lrm: 0.30 | dt: 623ms | tok/sec: 841,981 | mfu: 20.3% | epoch: 1 | remaining: 45s    
step 00422 (85.0%) | loss: 3.807115 | lrm: 0.30 | dt: 628ms | tok/sec: 834,715 | mfu: 20.2% | epoch: 1 | remaining: 44s    
step 00423 (85.2%) | loss: 3.805260 | lrm: 0.30 | dt: 622ms | tok/sec: 843,421 | mfu: 20.4% | epoch: 1 | remaining: 44s    
step 00424 (85.4%) | loss: 3.805736 | lrm: 0.29 | dt: 613ms | tok/sec: 854,739 | mfu: 20.7% | epoch: 1 | remaining: 43s    
step 00425 (85.6%) | loss: 3.804218 | lrm: 0.29 | dt: 619ms | tok/sec: 847,433 | mfu: 20.5% | epoch: 1 | remaining: 43s    
step 00426 (85.8%) | loss: 3.804749 | lrm: 0.28 | dt: 628ms | tok/sec: 834,844 | mfu: 20.2% | epoch: 1 | remaining: 42s    
step 00427 (86.0%) | loss: 3.806817 | lrm: 0.28 | dt: 625ms | tok/sec: 838,759 | mfu: 20.3% | epoch: 1 | remaining: 41s    
step 00428 (86.2%) | loss: 3.809623 | lrm: 0.28 | dt: 622ms | tok/sec: 843,429 | mfu: 20.4% | epoch: 1 | remaining: 41s    
step 00429 (86.4%) | loss: 3.812960 | lrm: 0.27 | dt: 622ms | tok/sec: 842,717 | mfu: 20.4% | epoch: 1 | remaining: 40s    
step 00430 (86.6%) | loss: 3.813607 | lrm: 0.27 | dt: 625ms | tok/sec: 838,479 | mfu: 20.3% | epoch: 1 | remaining: 39s    
step 00431 (86.9%) | loss: 3.807248 | lrm: 0.26 | dt: 628ms | tok/sec: 835,447 | mfu: 20.2% | epoch: 1 | remaining: 39s    
step 00432 (87.1%) | loss: 3.808360 | lrm: 0.26 | dt: 621ms | tok/sec: 844,107 | mfu: 20.4% | epoch: 1 | remaining: 38s    
step 00433 (87.3%) | loss: 3.802834 | lrm: 0.25 | dt: 621ms | tok/sec: 844,112 | mfu: 20.4% | epoch: 1 | remaining: 38s    
step 00434 (87.5%) | loss: 3.803218 | lrm: 0.25 | dt: 624ms | tok/sec: 839,797 | mfu: 20.3% | epoch: 1 | remaining: 37s    
step 00435 (87.7%) | loss: 3.801403 | lrm: 0.25 | dt: 624ms | tok/sec: 840,698 | mfu: 20.3% | epoch: 1 | remaining: 36s    
step 00436 (87.9%) | loss: 3.801108 | lrm: 0.24 | dt: 618ms | tok/sec: 848,593 | mfu: 20.5% | epoch: 1 | remaining: 36s    
step 00437 (88.1%) | loss: 3.797126 | lrm: 0.24 | dt: 622ms | tok/sec: 842,737 | mfu: 20.4% | epoch: 1 | remaining: 35s    
step 00438 (88.3%) | loss: 3.796131 | lrm: 0.23 | dt: 617ms | tok/sec: 849,508 | mfu: 20.5% | epoch: 1 | remaining: 34s    
step 00439 (88.5%) | loss: 3.797199 | lrm: 0.23 | dt: 623ms | tok/sec: 842,227 | mfu: 20.3% | epoch: 1 | remaining: 34s    
step 00440 (88.7%) | loss: 3.790322 | lrm: 0.23 | dt: 629ms | tok/sec: 832,928 | mfu: 20.1% | epoch: 1 | remaining: 33s    
step 00441 (88.9%) | loss: 3.788548 | lrm: 0.22 | dt: 626ms | tok/sec: 836,867 | mfu: 20.2% | epoch: 1 | remaining: 33s    
step 00442 (89.1%) | loss: 3.788422 | lrm: 0.22 | dt: 624ms | tok/sec: 839,653 | mfu: 20.3% | epoch: 1 | remaining: 32s    
step 00443 (89.3%) | loss: 3.788206 | lrm: 0.21 | dt: 626ms | tok/sec: 837,460 | mfu: 20.2% | epoch: 1 | remaining: 31s    
step 00444 (89.6%) | loss: 3.787629 | lrm: 0.21 | dt: 630ms | tok/sec: 832,333 | mfu: 20.1% | epoch: 1 | remaining: 31s    
step 00445 (89.8%) | loss: 3.788690 | lrm: 0.20 | dt: 622ms | tok/sec: 842,773 | mfu: 20.4% | epoch: 1 | remaining: 30s    
step 00446 (90.0%) | loss: 3.789913 | lrm: 0.20 | dt: 618ms | tok/sec: 847,793 | mfu: 20.5% | epoch: 1 | remaining: 29s    
step 00447 (90.2%) | loss: 3.791391 | lrm: 0.20 | dt: 626ms | tok/sec: 837,047 | mfu: 20.2% | epoch: 1 | remaining: 29s    
step 00448 (90.4%) | loss: 3.790400 | lrm: 0.19 | dt: 625ms | tok/sec: 838,527 | mfu: 20.3% | epoch: 1 | remaining: 28s    
step 00449 (90.6%) | loss: 3.787871 | lrm: 0.19 | dt: 624ms | tok/sec: 840,183 | mfu: 20.3% | epoch: 1 | remaining: 28s    
step 00450 (90.8%) | loss: 3.787395 | lrm: 0.18 | dt: 620ms | tok/sec: 845,914 | mfu: 20.4% | epoch: 1 | remaining: 27s    
step 00451 (91.0%) | loss: 3.780666 | lrm: 0.18 | dt: 621ms | tok/sec: 844,670 | mfu: 20.4% | epoch: 1 | remaining: 26s    
step 00452 (91.2%) | loss: 3.778292 | lrm: 0.18 | dt: 629ms | tok/sec: 832,897 | mfu: 20.1% | epoch: 1 | remaining: 26s    
step 00453 (91.4%) | loss: 3.773747 | lrm: 0.17 | dt: 621ms | tok/sec: 844,252 | mfu: 20.4% | epoch: 1 | remaining: 25s    
step 00454 (91.6%) | loss: 3.769907 | lrm: 0.17 | dt: 626ms | tok/sec: 837,623 | mfu: 20.2% | epoch: 1 | remaining: 24s    
step 00455 (91.8%) | loss: 3.770934 | lrm: 0.16 | dt: 628ms | tok/sec: 835,142 | mfu: 20.2% | epoch: 1 | remaining: 24s    
step 00456 (92.1%) | loss: 3.769997 | lrm: 0.16 | dt: 630ms | tok/sec: 831,719 | mfu: 20.1% | epoch: 1 | remaining: 23s    
step 00457 (92.3%) | loss: 3.772709 | lrm: 0.15 | dt: 620ms | tok/sec: 844,960 | mfu: 20.4% | epoch: 1 | remaining: 23s    
step 00458 (92.5%) | loss: 3.774847 | lrm: 0.15 | dt: 622ms | tok/sec: 842,803 | mfu: 20.4% | epoch: 1 | remaining: 22s    
step 00459 (92.7%) | loss: 3.775710 | lrm: 0.15 | dt: 621ms | tok/sec: 844,440 | mfu: 20.4% | epoch: 1 | remaining: 21s    
step 00460 (92.9%) | loss: 3.771228 | lrm: 0.14 | dt: 626ms | tok/sec: 837,793 | mfu: 20.2% | epoch: 1 | remaining: 21s    
step 00461 (93.1%) | loss: 3.767566 | lrm: 0.14 | dt: 615ms | tok/sec: 852,539 | mfu: 20.6% | epoch: 1 | remaining: 20s    
step 00462 (93.3%) | loss: 3.768179 | lrm: 0.13 | dt: 623ms | tok/sec: 841,539 | mfu: 20.3% | epoch: 1 | remaining: 19s    
step 00463 (93.5%) | loss: 3.766239 | lrm: 0.13 | dt: 628ms | tok/sec: 834,437 | mfu: 20.2% | epoch: 1 | remaining: 19s    
step 00464 (93.7%) | loss: 3.767180 | lrm: 0.13 | dt: 622ms | tok/sec: 843,317 | mfu: 20.4% | epoch: 1 | remaining: 18s    
step 00465 (93.9%) | loss: 3.758035 | lrm: 0.12 | dt: 630ms | tok/sec: 832,699 | mfu: 20.1% | epoch: 1 | remaining: 18s    
step 00466 (94.1%) | loss: 3.760118 | lrm: 0.12 | dt: 625ms | tok/sec: 838,323 | mfu: 20.3% | epoch: 1 | remaining: 17s    
step 00467 (94.3%) | loss: 3.763695 | lrm: 0.11 | dt: 626ms | tok/sec: 836,915 | mfu: 20.2% | epoch: 1 | remaining: 16s    
step 00468 (94.6%) | loss: 3.762730 | lrm: 0.11 | dt: 624ms | tok/sec: 840,295 | mfu: 20.3% | epoch: 1 | remaining: 16s    
step 00469 (94.8%) | loss: 3.759942 | lrm: 0.10 | dt: 621ms | tok/sec: 843,951 | mfu: 20.4% | epoch: 1 | remaining: 15s    
step 00470 (95.0%) | loss: 3.757806 | lrm: 0.10 | dt: 626ms | tok/sec: 838,004 | mfu: 20.2% | epoch: 1 | remaining: 14s    
step 00471 (95.2%) | loss: 3.752379 | lrm: 0.10 | dt: 617ms | tok/sec: 849,928 | mfu: 20.5% | epoch: 1 | remaining: 14s    
step 00472 (95.4%) | loss: 3.756058 | lrm: 0.09 | dt: 624ms | tok/sec: 840,338 | mfu: 20.3% | epoch: 1 | remaining: 13s    
step 00473 (95.6%) | loss: 3.756077 | lrm: 0.09 | dt: 629ms | tok/sec: 833,775 | mfu: 20.1% | epoch: 1 | remaining: 13s    
step 00474 (95.8%) | loss: 3.753085 | lrm: 0.08 | dt: 625ms | tok/sec: 839,499 | mfu: 20.3% | epoch: 1 | remaining: 12s    
